id;precio;metros_cuadrados_utiles;numero_baNos;numero_habitaciones;planta;antigUedad;aire_acondicionado_Si;ascensor_Si;piscina_Si;trastero_Si;garaje_Si;balcon_Si;jardin_Si;armarios_Si;poblacion_km2;renta_media_hogar;distancia_centro_Madrid_m;pois_comunitarios;pois_BigBusiness
19056;150000;178;3;3;1;46;False;False;False;True;True;True;True;True;55;20619;64185;11;0
19188;150000;150;3;3;0;46;False;False;False;True;True;True;True;True;55;20619;64185;11;0
19210;99000;202;1;3;0;46;False;False;False;False;False;False;False;False;55;20619;63921;11;0
19216;197000;150;3;3;2;35;False;False;False;True;True;True;True;False;55;20619;64031;11;0
19223;35000;64;1;3;0;45;False;False;False;False;False;False;False;False;55;20619;63732;1;0
19234;149000;94;2;4;0;22;False;False;True;False;True;False;True;False;376;20619;65047;0;0
19235;132000;87;2;3;0;22;False;False;True;False;True;False;True;False;376;20619;65047;0;0
19243;110000;120;2;3;0;46;False;False;True;False;False;False;True;False;55;20619;64031;11;0
19322;270000;200;2;6;0;18;False;False;True;True;True;False;True;True;376;20619;65023;0;0
10507;1300000;247;4;5;3;46;True;False;True;True;True;False;False;True;15757;20642;7505;16;0
10509;180000;50;1;2;2;46;True;True;False;False;False;True;False;False;15757;20642;6820;16;0
10515;70600;70;1;1;4;65;False;False;False;False;False;False;False;False;15757;20642;6963;16;0
10516;170000;51;1;2;3;46;False;False;False;False;False;False;False;False;15757;20642;7505;16;0
10517;1281390;199;3;4;1;0;True;False;True;True;True;False;True;True;15757;20642;7505;16;0
10519;114200;54;1;3;4;60;False;False;False;False;False;False;False;False;15757;20642;7505;16;0
10527;145000;53;1;2;2;46;False;False;False;False;False;False;False;False;15757;20642;6919;16;0
10530;270000;80;2;2;1;70;True;False;False;True;False;False;False;True;15757;20642;7505;16;0
10532;185000;50;1;2;1;65;True;True;False;False;False;False;False;True;15757;20642;7505;16;0
10533;70600;70;1;2;4;65;False;False;False;False;False;False;False;False;15757;20642;6763;16;0
10534;99000;47;1;2;1;46;False;False;False;False;False;False;False;False;15757;20642;7384;16;0
10535;152999;51;1;3;1;65;False;False;False;False;False;False;False;False;15757;20642;7505;16;0
10540;150999;50;1;2;0;65;True;False;False;False;False;False;False;True;15757;20642;7505;16;0
10543;175000;54;1;3;0;46;True;False;False;False;False;False;False;True;15757;20642;7243;16;0
