id;latitud;longitud;distancia_metros_sol
9787;40,3868601;-3,6591803;5028,78
9788;40,38052065;-3,660584344;5442,79
9789;40,383977;-3,6384832;6615,91
9790;40,38394641;-3,64609643;6091,77
9791;40,40508589;-3,661938093;3759,65
9792;40,3810309;-3,6317406;7272,96
9793;40,4899079;-3,378312686;28687,94
9794;40,38125332;-3,670740367;4843,13
9795;40,38924332;-3,657374799;4975,63
9796;40,38924332;-3,657374799;4975,63
9797;40,3995283;-3,6596765;4187,19
9798;40,40103392;-3,660387419;4058,15
9799;40,31196495;-3,724831784;11811,79
9800;40,3886373;-3,6704425;4213,45
9801;40,3974903;-3,6644994;3949,25
9802;40,3974903;-3,6644994;3949,25
9803;40,39347864;-3,657163964;4713,44
9804;40,3992045;-3,664729;3831,45
9805;40,3868141;-3,669840343;4399,87
9806;40,3867085;-3,6388382;6426,85
9807;40,3868601;-3,6591803;5028,78
9808;40,139117;-3,6547366;31168,84
9809;40,3969714;-3,6594559;4342,12
9810;40,38699085;-3,638240244;6453,79
9811;40,3886373;-3,6704425;4213,45
9812;40,38921816;-3,670028123;4189,09
9813;40,38579328;-3,667261552;4628,8
9814;40,40012295;-3,664187513;3819,78
9815;40,38394641;-3,64609643;6091,77
9816;40,3868601;-3,6591803;5028,78
9817;40,39491902;-3,667957497;3881,54
9818;40,3910131;-3,6631256;4473,75
9819;40,39997864;-3,666990674;3623,03
9820;40,384139;-3,6680301;4726,38
9821;40,3867085;-3,6388382;6426,85
9822;40,38768935;-3,669008968;4372,95
9823;40,39688389;-3,657586818;4483,68
9824;40,38394641;-3,64609643;6091,77
9825;40,39072652;-3,668880063;4135,6
9826;40,3925285;-3,6700813;3922,82
9827;40,3974903;-3,6644994;3949,25
9828;40,3925285;-3,6700813;3922,82
9829;40,3917726;-3,6666871;4190,74
9830;40,3953006;-3,671688;3613,53
9831;40,39081505;-3,647185668;5585,48
9832;40,3917726;-3,6666871;4190,74
9833;40,3886373;-3,6704425;4213,45
9834;40,30325237;-3,475268935;23105,13
9835;40,31196495;-3,724831784;11811,79
9836;40,39088;-3,669384;4093,34
9837;40,39255785;-3,670410498;3900,47
9838;40,3922796;-3,6674239;4106,64
9839;40,38921816;-3,670028123;4189,09
9840;40,38921816;-3,670028123;4189,09
9841;40,3995662;-3,6656189;3746,14
9842;40,37609856;-3,668549174;5422,1
9843;40,3821307;-3,6661249;5001,38
9844;40,3863365;-3,6626344;4854,96
9845;40,3868601;-3,6591803;5028,78
9846;40,37935104;-3,658637416;5649,85
9847;40,39456181;-3,660638495;4402,17
9848;40,40467835;-3,661998646;3771,01
9849;40,3807149;-3,674485675;4719,58
9850;40,3922796;-3,6674239;4106,64
9851;40,384139;-3,6680301;4726,38
9852;40,38866319;-3,668591056;4317,16
9853;40,3995283;-3,6596765;4187,19
9854;40,45565881;-3,711069046;4352,11
9855;40,39222735;-3,66009185;4591
9856;40,3938371;-3,661939095;4358,81
9857;40,3876566;-3,663549;4697,08
9858;40,3965654;-3,6697503;3648,53
9859;40,3965654;-3,6697503;3648,53
9860;40,58722156;-3,781887594;20059,92
9861;40,38645508;-3,669471597;4450,52
9862;40,39688389;-3,657586818;4483,68
9863;40,39688389;-3,657586818;4483,68
9864;40,40043279;-3,663256856;3872,21
9865;40,4643278;-3,721480357;5483,71
