id;latitud;longitud
8901;40,4457616;-3,785989
8902;40,4722857;-3,7343675
8903;40,443792;-3,726423
8904;40,457749;-3,7827941
8905;40,457749;-3,7827941
8906;40,4686163;-3,7298022
8907;40,45467924;-3,782992233
8908;40,4221054;-3,7150141
8909;40,4350196;-3,719236
8910;40,443792;-3,726423
8911;40,44600117;-3,713494044
8912;40,46694;-3,78715495
8913;40,4246501;-3,7129961
8914;40,443792;-3,726423
8915;40,4340772;-3,7182329
8916;40,42619952;-3,716045242
8917;40,4664887;-3,7231616
8918;40,42715044;-3,720013093
8919;40,457749;-3,7827941
8920;40,4307266;-3,7161715
8921;40,45872581;-3,781371786
8922;40,4307266;-3,7161715
8923;40,4307266;-3,7161715
8924;40,4730433;-3,827954226
8925;40,46957882;-3,72065675
8926;40,457749;-3,7827941
8927;40,46694;-3,78715495
8928;40,46694;-3,78715495
8929;40,4649188;-3,7165189
8930;40,42824141;-3,718087357
8931;40,4350196;-3,719236
8932;40,4297998;-3,714811607
8933;40,4241907;-3,75585802
8934;40,4722862;-3,828990487
8935;40,42137955;-3,717405601
8936;40,4297998;-3,714811607
8937;40,42137955;-3,717405601
8938;40,43119664;-3,720189663
8939;40,4211289;-3,71624925
8940;40,4241907;-3,75585802
8941;40,4722862;-3,828990487
8942;40,46728691;-3,784650791
8943;40,4730433;-3,827954226
8944;40,4619795;-3,72270465
8945;40,443792;-3,726423
8946;40,4350196;-3,719236
8947;40,4730433;-3,827954226
8948;40,45464652;-3,796201401
8949;40,457749;-3,7827941
8950;40,46403893;-3,806489235
8951;40,47196996;-3,828623103
8952;40,4307266;-3,7161715
8953;40,4649188;-3,7165189
8954;40,4663724;-3,7915868
8955;40,4350196;-3,719236
8956;40,4283434;-3,7176358
8957;40,46694;-3,78715495
8958;40,4776058;-3,8350562
8959;40,46987587;-3,726290745
8960;40,46694;-3,78715495
8961;40,46145149;-3,710640713
8962;40,443792;-3,726423
8963;40,4748333;-3,8221998
8964;40,42250226;-3,717892666
8965;40,4350196;-3,719236
8966;40,43029039;-3,721324543
8967;40,4748333;-3,8221998
8968;40,4496391;-3,7813084
8969;40,45052724;-3,713717235
8970;40,46013235;-3,762697425
8971;40,43119664;-3,720189663
8972;40,44716245;-3,740554
8973;40,40666773;-3,575301841
8974;40,6387703;-3,5112904
8975;40,443792;-3,726423
8976;40,42715044;-3,720013093
8977;40,45646214;-3,78640069
8978;40,4350196;-3,719236
8979;40,47398314;-3,748815752
8980;40,4307266;-3,7161715
8981;40,4350196;-3,719236
8982;40,468519;-3,7954961
8983;40,42715044;-3,720013093
8984;40,424191;-3,7123333
8985;40,4483981;-3,7276234
8986;40,4259466;-3,7148806
8987;40,4761801;-3,830561029
8988;40,453778;-3,7167614
8989;40,4722862;-3,828990487
8990;40,42824141;-3,718087357
8991;40,4727929;-3,832407
8992;40,47253145;-3,747329104
8993;40,42570565;-3,712659739
8994;40,43029039;-3,721324543
8995;40,4465094;-3,7880008
8996;40,3663414;-3,600018
8997;40,4283434;-3,7176358
8998;40,47021222;-3,779759587
8999;40,4350196;-3,719236
9000;40,457749;-3,7827941
9001;40,4307266;-3,7161715
9002;40,46006;-3,7984565
9003;40,4350196;-3,719236
9004;40,421045;-3,717301106
9005;40,2813665;-3,9101873
9006;40,46987587;-3,726290745
9007;40,44828508;-3,712605553
9008;40,4480648;-3,7152011
9009;40,443792;-3,726423
9010;40,4544886;-3,7165643
9011;40,4246501;-3,7129961
9012;40,46993814;-3,727498075
9013;40,443792;-3,726423
9014;40,457749;-3,7827941
9015;40,4350196;-3,719236
9016;40,4350196;-3,719236
9017;40,4748333;-3,8221998
9018;40,46649465;-3,726456957
9019;40,46987587;-3,726290745
9020;40,4350196;-3,719236
9021;40,4307266;-3,7161715
9022;40,42669174;-3,729886306
9023;40,46987587;-3,726290745
9024;40,4350196;-3,719236
9025;40,4649188;-3,7165189
9026;40,4216839;-3,7145107
9027;40,42999989;-3,718367403
9028;40,457749;-3,7827941
9029;40,42999989;-3,718367403
9030;40,44716245;-3,740554
9031;40,46694;-3,78715495
9032;40,4693736;-3,719056761
9033;40,42250226;-3,717892666
9034;40,45908809;-3,794168093
9035;40,42715044;-3,720013093
9036;40,4702414;-3,789081199
9037;40,457749;-3,7827941
9038;40,4350196;-3,719236
9039;40,42882019;-3,731183228
9040;40,4350196;-3,719236
9041;40,45700263;-3,791235298
9042;40,4307266;-3,7161715
9043;40,4601462;-3,7966
9044;40,4350196;-3,719236
9045;40,4730137;-3,8194859
9046;40,4221054;-3,7150141
9047;40,4689274;-3,727737785
9048;40,4689274;-3,727737785
9049;40,45437914;-3,791796827
9050;40,4767654;-3,65907378
9051;40,46892306;-3,731361266
9052;40,6367484;-4,0198393
9053;40,443792;-3,726423
9054;40,4468414;-3,7113239
9055;40,42999989;-3,718367403
9056;40,4293141;-3,7166375
9057;40,44654331;-3,714618223
9058;40,42918885;-3,71833507
9059;40,46694;-3,78715495
9060;40,4686163;-3,7298022
9061;40,42669174;-3,729886306
9062;40,4577868;-3,7118442
9063;40,4213813;-3,716315044
9064;40,45606037;-3,717063582
9065;40,42120524;-3,716979864
9066;40,460064;-3,7828553
9067;40,42861597;-3,717238651
9068;40,44719486;-3,778493045
9069;40,46993814;-3,727498075
9070;40,4221054;-3,7150141
9071;40,47398314;-3,748815752
9072;40,4624855;-3,720541641
9073;40,46694;-3,78715495
9074;40,46168982;-3,796719099
9075;40,45837944;-3,781236132
9076;40,46145149;-3,710640713
9077;40,4720437;-3,7872492
9078;40,43029039;-3,721324543
9079;40,42715044;-3,720013093
9080;40,4350196;-3,719236
9081;40,421778;-3,7141642
9082;40,40666773;-3,575301841
9083;40,42108832;-3,714520224
9084;40,46694;-3,78715495
9085;40,421778;-3,7141642
9086;40,4320892;-3,7199543
9087;40,46987587;-3,726290745
9088;40,4601462;-3,7966
9089;40,43029039;-3,721324543
9090;40,4655969;-3,7111767
9091;40,47021222;-3,779759587
9092;40,45908809;-3,794168093
9093;40,4241907;-3,75585802
9094;40,42120524;-3,716979864
9095;40,42220115;-3,722440263
9096;40,46188405;-3,774431594
9097;40,4679161;-3,7194852
9098;40,46188405;-3,774431594
9099;40,443792;-3,726423
9100;40,45700263;-3,791235298
9101;40,42567794;-3,713606769
9102;40,4350196;-3,719236
9103;40,4722862;-3,828990487
9104;40,47112939;-3,766107222
9105;40,46694;-3,78715495
9106;40,457749;-3,7827941
9107;40,42120524;-3,716979864
9108;40,42824141;-3,718087357
9109;40,457749;-3,7827941
9110;40,457749;-3,7827941
9111;40,4307266;-3,7161715
9112;40,47029316;-3,820284663
9113;40,4722862;-3,828990487
9114;40,47029316;-3,820284663
9115;40,47029316;-3,820284663
9116;40,45765319;-3,781016839
9117;40,4219711;-3,716067968
9118;40,4702414;-3,789081199
9119;40,460611;-3,7803395
9120;40,460611;-3,7803395
9121;40,44772195;-3,716614867
9122;40,47029316;-3,820284663
9123;40,45908809;-3,794168093
9124;40,2863209;-3,79390155
9125;40,47327955;-3,830120735
9126;40,4649188;-3,7165189
9127;40,46943556;-3,72240861
9128;40,4307266;-3,7161715
9129;40,42741227;-3,728256914
9130;40,46943556;-3,72240861
9131;40,46145149;-3,710640713
9132;40,46145149;-3,710640713
9133;40,46943556;-3,72240861
9134;40,46188405;-3,774431594
9135;40,46188405;-3,774431594
9136;40,4307266;-3,7161715
9137;40,4307266;-3,7161715
9138;40,4748333;-3,8221998
9139;40,4350196;-3,719236
9140;40,457749;-3,7827941
9141;40,035927;-3,591249834
9142;40,4634248;-3,7709701
9143;40,457749;-3,7827941
9144;40,46188405;-3,774431594
9145;40,46188405;-3,774431594
9146;40,46943556;-3,72240861
9147;40,460611;-3,7803395
9148;40,460611;-3,7803395
9149;40,460611;-3,7803395
9150;40,460611;-3,7803395
9151;40,45839658;-3,793263144
